_id,beneficiary_name,beneficiary_address,project_name,project_description,total_amount,project_status,management_authority,amount,amount_kind,approval_date,beneficiary_city,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_nuts_region,beneficiary_person,beneficiary_postal_code,beneficiary_url,cci_program_code,cci_program_title,completion_date,currency,eu_cofinancing_amount,eu_cofinancing_amount_eligible,eu_cofinancing_rate,european_investment_bank,final_payment_date,first_payment_date,fund_acronym,fund_name,funding_period,funding_period_number,member_state_amount,operational_programme,priority_label,priority_number,project_id,source,starting_date,theme_code,theme_name,third_party_amount,total_amount_applied,total_amount_eligible
3052,GW St. Pölten Integrative Betriebe GmbH,,Innovationsdienstleistung für Unternehmen,,46860.0,,,46860.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3053,GW St. Pölten Integrative Betriebe GmbH,,Innovationsdienstleistung für Unternehmen,,111200.0,,,111200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3054,GWi GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3055,"GWS NEUNKIRCHEN KOMMUNAL Planungs-, Errichtungs- und Servicegesellschaft m.b.H.",,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3056,"GWS NEUNKIRCHEN KOMMUNAL Planungs-, Errichtungs- und Servicegesellschaft m.b.H.",,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3057,"GWS NEUNKIRCHEN KOMMUNAL Planungs-, Errichtungs- und Servicegesellschaft m.b.H.",,Innovationsdienstleistung für Unternehmen,,2400.0,,,2400.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3058,GWT Aus- und Weiterbildungs GmbH,,Innovationsdienstleistung für Unternehmen,,100121.89,,,100121.89,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3059,GWT Aus- und Weiterbildungs GmbH,,Innovationsdienstleistung für Unternehmen,,43191.55,,,43191.55,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3060,GWT Aus- und Weiterbildungs GmbH,,Innovationsdienstleistung für Unternehmen,,70199.52,,,70199.52,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3061,GZT - Geldzähltechnik Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3062,GZT - Geldzähltechnik Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3063,GZT - Geldzähltechnik Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3064,GZT Geldzähltechnik Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,19337.5,,,19337.5,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3065,H & T Bau GmbH,,Innovationsdienstleistung für Unternehmen,,1200.0,,,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3066,H & T Bau GmbH,,Innovationsdienstleistung für Unternehmen,,1200.0,,,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3067,H & T Bau GmbH,,Innovationsdienstleistung für Unternehmen,,1200.0,,,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3068,H & Z Gastronomiebetrieb OG,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3069,H A D I   Maschinenbau Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3070,H. Knödl Catering & Event GmbH,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3071,H. Knödl Catering & Event GmbH,,Innovationsdienstleistung für Unternehmen,,1350.0,,,1350.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3072,H. Schinnerl GmbH Schlosserei,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3073,H. Schinnerl GmbH Schlosserei,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3074,H. u. J. Steiner Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,1350.0,,,1350.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3075,H. Wurz Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3076,H.A.U.K. Autohandelsgesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3077,H.A.U.K. Autohandelsgesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3078,H.A.U.K. AutohandelsgesmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3079,H.S. Fitnesscenter GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3080,Haack Seminare und Kosmetik GmbH,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3081,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3082,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3083,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3084,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3085,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3086,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3087,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3088,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3089,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3090,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3091,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3092,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3093,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3094,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3095,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3096,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3097,Haas Food Equipment GmbH.,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3098,Haas Johannes,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3099,Haas Margit,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3100,Haas Markus,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3101,Haas Sabine,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3102,Haas Sabine,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3103,HAFNERTEC Bicker GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3104,HAFNERTEC Bicker GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3105,HAFNERTEC Bicker GmbH,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3106,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3107,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3108,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3109,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3110,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3111,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3112,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3113,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3114,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3115,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3116,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3117,Hager Andreas,,Innovationsdienstleistung für Unternehmen,,1800.0,,,1800.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3118,Hager Ges.m.b.H.,,Innovationsdienstleistung für Unternehmen,,595.0,,,595.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3119,Hager Klemens,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3120,Hager Metall und Glas GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3121,Hagmann GmbH Cafe-Konditorei,,Innovationsdienstleistung für Unternehmen,,340.0,,,340.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3122,Hagn-Technische Elastomere Gesellschaft mbH,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3123,Hahn Karl Heinz,,Innovationsdienstleistung für Unternehmen,,425.0,,,425.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3124,Hahn Wolfgang,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3125,Haider Andreas,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3126,Haider Erwin,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3127,Haidler Thomas,,Innovationsdienstleistung für Unternehmen,,660.0,,,660.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3128,HainzlSystemHeizungen GesmbH,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3129,Halbwachs Ignaz,,Innovationsdienstleistung für Unternehmen,,1350.0,,,1350.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3130,Halbwachs Manfred,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3131,Halbwachs Manfred,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3132,Halbwachs Manfred  Ing.,,Unternehmensinvestition in umweltfreundliche Produkte/Verfahren,,4875.0,,,4875.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3133,Halbwax Walter,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3134,Halbwax Walter,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3135,Halbwax Walter,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3136,Halit Krasniqi,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3137,Hallach Gesellschaft m.b.H.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3138,Haller Christine,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3139,Hallwachs Christine,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3140,Halmenschlager Erwin,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3141,Halmschlager Irmgard,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3142,Hameseder Jürgen Ing.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3143,Hameseder Jürgen Ing.,,Innovationsdienstleistung für Unternehmen,,1200.0,,,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3144,Hameseder Jürgen Ing.,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3145,Hamm Roland,,Innovationsdienstleistung für Unternehmen,,595.0,,,595.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3146,Hamm Roland,,Innovationsdienstleistung für Unternehmen,,127.5,,,127.5,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3147,Hammer Roman,,Innovationsdienstleistung für Unternehmen,,720.0,,,720.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3148,Handl Wohnen GmbH,,Innovationsdienstleistung für Unternehmen,,1600.0,,,1600.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3149,Handler Gabriele,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3150,Handler Johann,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3151,Handler Johann,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3152,Haneder Franz,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3153,Hannelore Alphons Gasthaus,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3154,Hannes Hazod GmbH,,Innovationsdienstleistung für Unternehmen,,680.0,,,680.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3155,Hannes Hazod GmbH,,Innovationsdienstleistung für Unternehmen,,1200.0,,,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
3157,Hannes Koza KG,,Innovationsdienstleistung für Unternehmen,,1200.0,,,1200.0,total_amount,,,ÖSTERREICH,AT,,,AT12,Niederösterreich,,,,2007AT162PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
